E0D319F5,3771931125,Binary,Childcare.Pending.CharInfoEx
A279320C,2725851660,Binary,Player.<Unknown_CB8A4231>
114EFF89,0290389897,Binary,UGC.SuspendMii.CharInfoEx
881CA27A,2283577978,BinaryArray,Mii.CharInfoEx
FE434951,4265822545,BinaryArray,Mii.MiiMisc.EatInfo.GivenFlag
C022C1AE,3223503278,BinaryArray,Mii.MiiMisc.EatInfo.GivenUgcFlag
CAB805E6,3401057766,BinaryArray,Mii.MiiMisc.FaceInfo.<Unknown_F13124BD>
AFA5024A,2946826826,BinaryArray,Relation.Info.DirectionalInfo.NameSetBin
0F581F56,0257433430,Bool,Childcare.Pending.HabitOwnInfo.BlinkLot.IsChecked
67AE4CBD,1739476157,Bool,Childcare.Pending.HabitOwnInfo.BlinkLot.IsOwn
0F1A5251,0253383249,Bool,Childcare.Pending.HabitOwnInfo.BreakGas.IsChecked
6784D3A0,1736758176,Bool,Childcare.Pending.HabitOwnInfo.BreakGas.IsOwn
F84B7E52,4165697106,Bool,Childcare.Pending.HabitOwnInfo.ChangeCloth.IsChecked
EBF8CA58,3958950488,Bool,Childcare.Pending.HabitOwnInfo.ChangeCloth.IsOwn
DC593DE2,3696836066,Bool,Childcare.Pending.HabitOwnInfo.Chicken.IsChecked
783A56EA,2017089258,Bool,Childcare.Pending.HabitOwnInfo.Chicken.IsOwn
E9665718,3915798296,Bool,Childcare.Pending.HabitOwnInfo.EatCarefully.IsChecked
76D18031,1993441329,Bool,Childcare.Pending.HabitOwnInfo.EatCarefully.IsOwn
67D66F5F,1742106463,Bool,Childcare.Pending.HabitOwnInfo.EatCrisp.IsChecked
B754BB23,3075783459,Bool,Childcare.Pending.HabitOwnInfo.EatCrisp.IsOwn
FF6FE51F,4285523231,Bool,Childcare.Pending.HabitOwnInfo.EatCute.IsChecked
3366C93F,0862374207,Bool,Childcare.Pending.HabitOwnInfo.EatCute.IsOwn
2A5BF4CB,0710669515,Bool,Childcare.Pending.HabitOwnInfo.EatElegantly.IsChecked
3B64E8C9,0996468937,Bool,Childcare.Pending.HabitOwnInfo.EatElegantly.IsOwn
4B00A91E,1258334494,Bool,Childcare.Pending.HabitOwnInfo.EatMouthful.IsChecked
B7C6CC33,3083258931,Bool,Childcare.Pending.HabitOwnInfo.EatMouthful.IsOwn
04817255,0075592277,Bool,Childcare.Pending.HabitOwnInfo.EatSecretly.IsChecked
1B619FDA,0459382746,Bool,Childcare.Pending.HabitOwnInfo.EatSecretly.IsOwn
6C2116E5,1814107877,Bool,Childcare.Pending.HabitOwnInfo.EatSmell.IsChecked
0B6D194C,0191699276,Bool,Childcare.Pending.HabitOwnInfo.EatSmell.IsOwn
73DA071F,1943668511,Bool,Childcare.Pending.HabitOwnInfo.EatWild.IsChecked
